participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.treatment,participant.pre_questions_order,participant.post_questions_order_t1,participant.post_questions_order_t2,participant.apartment_row,participant.lender_row,participant.dev_row1,participant.dev_row2,participant.info_first,participant.task_payment_relevance,participant.tasks_order,participant.stage_order,participant.prob_ai,participant.ai,participant.var_payment_amount,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,si_experiment.1.player.id_in_group,si_experiment.1.player.role,si_experiment.1.player.payoff,si_experiment.1.player.is_mobile,si_experiment.1.player.consent,si_experiment.1.player.age,si_experiment.1.player.job_status,si_experiment.1.player.sex,si_experiment.1.player.migration_bg,si_experiment.1.player.pol_views,si_experiment.1.player.importance_sex,si_experiment.1.player.importance_migration_bg,si_experiment.1.player.importance_pol_views,si_experiment.1.player.soc_distance_rank_t1_1,si_experiment.1.player.soc_distance_rank_t1_2,si_experiment.1.player.soc_distance_rank_t1_3,si_experiment.1.player.soc_distance_t1_1,si_experiment.1.player.soc_distance_t1_2,si_experiment.1.player.soc_distance_t1_3,si_experiment.1.player.soc_distance_rank_t2_1,si_experiment.1.player.soc_distance_rank_t2_2,si_experiment.1.player.soc_distance_rank_t2_3,si_experiment.1.player.soc_distance_t2_1,si_experiment.1.player.soc_distance_t2_2,si_experiment.1.player.soc_distance_t2_3,si_experiment.1.player.soc_norms,si_experiment.1.player.del_grat,si_experiment.1.player.pers_inno1,si_experiment.1.player.pers_inno2,si_experiment.1.player.pers_inno3,si_experiment.1.player.task1Estimate,si_experiment.1.player.conf1Estimate,si_experiment.1.player.task2Estimate,si_experiment.1.player.conf2Estimate,si_experiment.1.player.perc_acc,si_experiment.1.player.perc_acc2,si_experiment.1.player.wtp,si_experiment.1.player.immo_exp,si_experiment.1.player.credit_exp,si_experiment.1.player.risk_aver,si_experiment.1.player.revision,si_experiment.1.player.confRevision,si_experiment.1.player.revision2,si_experiment.1.player.confRevision2,si_experiment.1.player.transparency_t1,si_experiment.1.player.anthro_t1_1,si_experiment.1.player.anthro_t1_2,si_experiment.1.player.anthro_t1_3,si_experiment.1.player.cog_trust_t1_1,si_experiment.1.player.cog_trust_t1_2,si_experiment.1.player.cog_trust_t1_3,si_experiment.1.player.integ_trust_t1_1,si_experiment.1.player.integ_trust_t1_2,si_experiment.1.player.integ_trust_t1_3,si_experiment.1.player.emo_trust_t1_1,si_experiment.1.player.emo_trust_t1_2,si_experiment.1.player.emo_trust_t1_3,si_experiment.1.player.transparency_t2,si_experiment.1.player.anthro_t2_1,si_experiment.1.player.anthro_t2_2,si_experiment.1.player.anthro_t2_3,si_experiment.1.player.cog_trust_t2_1,si_experiment.1.player.cog_trust_t2_2,si_experiment.1.player.cog_trust_t2_3,si_experiment.1.player.integ_trust_t2_1,si_experiment.1.player.integ_trust_t2_2,si_experiment.1.player.integ_trust_t2_3,si_experiment.1.player.emo_trust_t2_1,si_experiment.1.player.emo_trust_t2_2,si_experiment.1.player.emo_trust_t2_3,si_experiment.1.group.id_in_subsession,si_experiment.1.subsession.round_number
1,9dvnmsr0,5d584e8d6c6798000122a0f1,0,21,21,si_experiment,End,2022-09-01 13:08:38.347751,1,,,0.0,both,"['del_grat', 'pers_inno2', 'pers_inno1', 'pers_inno3', 'soc_norms']","['transparency_t1', 'anthro_t1_2', 'anthro_t1_3', 'anthro_t1_1', 'emo_trust_t1_2', 'emo_trust_t1_3', 'emo_trust_t1_1', 'cog_trust_t1_2', 'cog_trust_t1_3', 'cog_trust_t1_1', 'integ_trust_t1_2', 'integ_trust_t1_3', 'integ_trust_t1_1']","['transparency_t2', 'anthro_t2_2', 'anthro_t2_3', 'anthro_t2_1', 'emo_trust_t2_2', 'emo_trust_t2_3', 'emo_trust_t2_1', 'cog_trust_t2_2', 'cog_trust_t2_3', 'cog_trust_t2_1', 'integ_trust_t2_2', 'integ_trust_t2_3', 'integ_trust_t2_1']",1,6,2,1,dev,2,1,0,0.5637599969920198,1,0.0,grj9bsph,,,,,0,1.0,0.0,si_experiment,1,,0.0,1,1,31,0,1,0,4,4,3,3,Geschlecht,Politische Ansichten,Migrationshintergrund,4,4,3,Geschlecht,Politische Ansichten,Migrationshintergrund,4,4,4,2,3,2,3,3,540000,4,20,3,75.0,40.0,80.0,1,1,4,660000,4,70,4,4,3,3,3,4,3,3,2,2,4,2,3,3,4,4,4,3,4,3,3,2,2,3,3,3,3,1,1
2,ke7q69tn,628ba2d1d5fcb79761db5c0a,0,21,21,si_experiment,End,2022-09-01 13:11:12.021584,1,,,0.0,none,"['pers_inno2', 'pers_inno1', 'pers_inno3', 'soc_norms', 'del_grat']","['emo_trust_t1_1', 'emo_trust_t1_3', 'emo_trust_t1_2', 'integ_trust_t1_3', 'integ_trust_t1_1', 'integ_trust_t1_2', 'cog_trust_t1_2', 'cog_trust_t1_3', 'cog_trust_t1_1', 'anthro_t1_2', 'anthro_t1_1', 'anthro_t1_3', 'transparency_t1']","['emo_trust_t2_1', 'emo_trust_t2_3', 'emo_trust_t2_2', 'integ_trust_t2_3', 'integ_trust_t2_1', 'integ_trust_t2_2', 'cog_trust_t2_2', 'cog_trust_t2_3', 'cog_trust_t2_1', 'anthro_t2_2', 'anthro_t2_1', 'anthro_t2_3', 'transparency_t2']",7,1,0,1,not_applicable,1,1,0,0.6999343738360744,1,0.0,grj9bsph,,,,,0,1.0,0.0,si_experiment,2,,0.0,0,1,28,1,1,0,3,4,3,3,Politische Ansichten,Geschlecht,Migrationshintergrund,2,2,2,Politische Ansichten,Geschlecht,Migrationshintergrund,4,4,3,4,3,3,2,3,460000,3,70,3,80.0,60.0,80.0,1,1,4,540000,3,60,3,4,1,1,1,3,3,3,3,1,3,4,2,2,4,1,1,1,3,3,3,4,1,3,4,2,2,1,1
3,v3m0u3xf,627c1a5ce19df40c98b28185,0,21,21,si_experiment,End,2022-09-01 13:16:22.508375,1,,,0.0,none,"['del_grat', 'pers_inno3', 'pers_inno2', 'pers_inno1', 'soc_norms']","['emo_trust_t1_1', 'emo_trust_t1_2', 'emo_trust_t1_3', 'anthro_t1_1', 'anthro_t1_3', 'anthro_t1_2', 'transparency_t1', 'integ_trust_t1_2', 'integ_trust_t1_1', 'integ_trust_t1_3', 'cog_trust_t1_3', 'cog_trust_t1_1', 'cog_trust_t1_2']","['emo_trust_t2_1', 'emo_trust_t2_2', 'emo_trust_t2_3', 'anthro_t2_1', 'anthro_t2_3', 'anthro_t2_2', 'transparency_t2', 'integ_trust_t2_2', 'integ_trust_t2_1', 'integ_trust_t2_3', 'cog_trust_t2_3', 'cog_trust_t2_1', 'cog_trust_t2_2']",5,9,1,2,not_applicable,2,1,1,0.1587980326102406,1,0.0,grj9bsph,,,,,0,1.0,0.0,si_experiment,3,,0.0,0,1,30,1,1,1,3,3,4,3,Politische Ansichten,Migrationshintergrund,Geschlecht,4,3,4,Politische Ansichten,Migrationshintergrund,Geschlecht,4,3,4,2,3,4,1,5,620000,4,20,4,80.0,80.0,80.0,0,0,3,420000,4,20,4,3,3,3,3,4,4,4,3,3,4,2,4,3,3,4,2,4,4,4,4,3,3,4,2,4,4,1,1
4,ltf43gz0,5bafbfa456161d0001fe9292,0,21,21,si_experiment,End,2022-09-01 13:18:00.240061,1,,,0.0,dev,"['soc_norms', 'pers_inno2', 'pers_inno3', 'pers_inno1', 'del_grat']","['emo_trust_t1_2', 'emo_trust_t1_1', 'emo_trust_t1_3', 'transparency_t1', 'cog_trust_t1_2', 'cog_trust_t1_3', 'cog_trust_t1_1', 'anthro_t1_3', 'anthro_t1_2', 'anthro_t1_1', 'integ_trust_t1_3', 'integ_trust_t1_2', 'integ_trust_t1_1']","['emo_trust_t2_2', 'emo_trust_t2_1', 'emo_trust_t2_3', 'transparency_t2', 'cog_trust_t2_2', 'cog_trust_t2_3', 'cog_trust_t2_1', 'anthro_t2_3', 'anthro_t2_2', 'anthro_t2_1', 'integ_trust_t2_3', 'integ_trust_t2_2', 'integ_trust_t2_1']",7,4,0,1,not_applicable,2,1,0,0.4994102008967577,1,0.3,grj9bsph,,,,,0,1.0,0.0,si_experiment,4,,0.0,0,1,24,4,1,0,2,4,1,4,Politische Ansichten,Geschlecht,Migrationshintergrund,2,2,2,Geschlecht,Migrationshintergrund,Politische Ansichten,4,4,3,4,4,1,3,3,620000,4,50,3,75.0,75.0,50.0,0,0,1,620000,4,30,3,4,3,2,2,3,3,3,2,2,2,4,3,2,2,3,2,2,4,3,3,2,3,3,3,4,3,1,1
5,0u5dhlfr,60548f4c7e12da7443c545ae,0,21,21,si_experiment,End,2022-09-01 13:19:01.413507,1,,,0.0,both,"['soc_norms', 'pers_inno1', 'pers_inno2', 'pers_inno3', 'del_grat']","['emo_trust_t1_1', 'emo_trust_t1_2', 'emo_trust_t1_3', 'integ_trust_t1_3', 'integ_trust_t1_2', 'integ_trust_t1_1', 'transparency_t1', 'anthro_t1_1', 'anthro_t1_3', 'anthro_t1_2', 'cog_trust_t1_3', 'cog_trust_t1_2', 'cog_trust_t1_1']","['emo_trust_t2_1', 'emo_trust_t2_2', 'emo_trust_t2_3', 'integ_trust_t2_3', 'integ_trust_t2_2', 'integ_trust_t2_1', 'transparency_t2', 'anthro_t2_1', 'anthro_t2_3', 'anthro_t2_2', 'cog_trust_t2_3', 'cog_trust_t2_2', 'cog_trust_t2_1']",1,9,2,0,acc,1,0,1,0.6835521487379147,0,0.2,grj9bsph,,,,,0,1.0,0.0,si_experiment,5,,0.0,0,1,26,2,1,1,1,4,4,5,Politische Ansichten,Migrationshintergrund,Geschlecht,4,4,4,Politische Ansichten,Geschlecht,Migrationshintergrund,4,2,2,2,1,1,4,2,80,2,500000,4,60.0,70.0,60.0,1,0,7,70,2,540000,4,1,1,1,1,1,1,2,4,2,2,4,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,1,1
6,sxzstz12,60feadf0d5c4363ce1f0eb44,0,21,21,si_experiment,End,2022-09-01 13:19:05.918737,1,,,0.0,dev,"['del_grat', 'pers_inno2', 'pers_inno1', 'pers_inno3', 'soc_norms']","['cog_trust_t1_3', 'cog_trust_t1_1', 'cog_trust_t1_2', 'transparency_t1', 'emo_trust_t1_1', 'emo_trust_t1_3', 'emo_trust_t1_2', 'integ_trust_t1_3', 'integ_trust_t1_1', 'integ_trust_t1_2', 'anthro_t1_3', 'anthro_t1_1', 'anthro_t1_2']","['cog_trust_t2_3', 'cog_trust_t2_1', 'cog_trust_t2_2', 'transparency_t2', 'emo_trust_t2_1', 'emo_trust_t2_3', 'emo_trust_t2_2', 'integ_trust_t2_3', 'integ_trust_t2_1', 'integ_trust_t2_2', 'anthro_t2_3', 'anthro_t2_1', 'anthro_t2_2']",0,4,1,0,not_applicable,1,0,0,0.2843040821625862,1,0.3,grj9bsph,,,,,0,1.0,0.0,si_experiment,6,,0.0,0,1,21,4,1,0,3,5,3,5,Politische Ansichten,Geschlecht,Migrationshintergrund,4,3,3,Politische Ansichten,Geschlecht,Migrationshintergrund,1,1,1,2,1,4,1,5,20,5,700000,4,60.0,90.0,50.0,1,1,6,20,5,620000,4,4,2,2,2,4,4,4,2,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,3,3,1,1
7,8uqlsv51,627bede33c39b388836c196d,0,21,21,si_experiment,End,2022-09-01 13:22:23.058292,1,,,0.0,dev,"['pers_inno2', 'pers_inno1', 'pers_inno3', 'soc_norms', 'del_grat']","['anthro_t1_1', 'anthro_t1_3', 'anthro_t1_2', 'emo_trust_t1_1', 'emo_trust_t1_3', 'emo_trust_t1_2', 'cog_trust_t1_2', 'cog_trust_t1_1', 'cog_trust_t1_3', 'integ_trust_t1_3', 'integ_trust_t1_2', 'integ_trust_t1_1', 'transparency_t1']","['anthro_t2_1', 'anthro_t2_3', 'anthro_t2_2', 'emo_trust_t2_1', 'emo_trust_t2_3', 'emo_trust_t2_2', 'cog_trust_t2_2', 'cog_trust_t2_1', 'cog_trust_t2_3', 'integ_trust_t2_3', 'integ_trust_t2_2', 'integ_trust_t2_1', 'transparency_t2']",6,8,2,0,not_applicable,2,0,0,0.9802742773442995,0,0.2,grj9bsph,,,,,0,1.0,0.0,si_experiment,7,,0.0,0,1,18,1,2,0,7,5,5,2,Migrationshintergrund,Politische Ansichten,Geschlecht,3,2,2,Geschlecht,Politische Ansichten,Migrationshintergrund,4,4,3,3,2,3,2,4,60,2,420000,4,75.0,65.0,60.0,2,1,7,60,2,420000,4,2,2,2,2,2,3,3,4,2,3,3,3,3,4,3,2,3,3,3,2,4,2,3,3,3,4,1,1
8,fir2n0s1,5fb42f807e81960acbfdb22e,0,21,21,si_experiment,End,2022-09-01 13:22:38.913418,1,,,0.0,dev,"['del_grat', 'soc_norms', 'pers_inno1', 'pers_inno3', 'pers_inno2']","['anthro_t1_2', 'anthro_t1_3', 'anthro_t1_1', 'cog_trust_t1_3', 'cog_trust_t1_1', 'cog_trust_t1_2', 'integ_trust_t1_1', 'integ_trust_t1_3', 'integ_trust_t1_2', 'transparency_t1', 'emo_trust_t1_1', 'emo_trust_t1_3', 'emo_trust_t1_2']","['anthro_t2_2', 'anthro_t2_3', 'anthro_t2_1', 'cog_trust_t2_3', 'cog_trust_t2_1', 'cog_trust_t2_2', 'integ_trust_t2_1', 'integ_trust_t2_3', 'integ_trust_t2_2', 'transparency_t2', 'emo_trust_t2_1', 'emo_trust_t2_3', 'emo_trust_t2_2']",5,2,1,2,not_applicable,1,0,0,0.5899414539128343,1,5.0,grj9bsph,,,,,0,1.0,0.0,si_experiment,8,,0.0,0,1,39,2,2,0,4,3,1,4,Politische Ansichten,Geschlecht,Migrationshintergrund,4,4,3,Politische Ansichten,Geschlecht,Migrationshintergrund,4,4,4,2,4,4,1,5,60,2,580000,1,70.0,70.0,80.0,0,1,5,30,4,380000,3,5,1,1,1,4,4,4,4,1,4,2,4,4,5,1,1,1,4,4,4,4,1,4,2,4,4,1,1
9,nk9ej1ln,5e82f12526ad9900094511f9,0,21,21,si_experiment,End,2022-09-01 13:25:45.267033,1,,,0.0,dev,"['soc_norms', 'del_grat', 'pers_inno3', 'pers_inno1', 'pers_inno2']","['integ_trust_t1_2', 'integ_trust_t1_3', 'integ_trust_t1_1', 'emo_trust_t1_3', 'emo_trust_t1_2', 'emo_trust_t1_1', 'anthro_t1_2', 'anthro_t1_1', 'anthro_t1_3', 'cog_trust_t1_2', 'cog_trust_t1_3', 'cog_trust_t1_1', 'transparency_t1']","['integ_trust_t2_2', 'integ_trust_t2_3', 'integ_trust_t2_1', 'emo_trust_t2_3', 'emo_trust_t2_2', 'emo_trust_t2_1', 'anthro_t2_2', 'anthro_t2_1', 'anthro_t2_3', 'cog_trust_t2_2', 'cog_trust_t2_3', 'cog_trust_t2_1', 'transparency_t2']",1,1,1,2,not_applicable,2,0,1,0.05959781680301024,1,0.0,grj9bsph,,,,,0,1.0,0.0,si_experiment,9,,0.0,0,1,21,4,2,0,2,2,1,4,Politische Ansichten,Geschlecht,Migrationshintergrund,3,3,3,Politische Ansichten,Geschlecht,Migrationshintergrund,3,3,3,2,3,3,2,4,60,2,540000,1,85.0,85.0,80.0,0,0,4,50,3,660000,3,4,2,2,2,4,4,4,3,1,3,4,4,4,4,2,2,2,4,4,4,3,1,3,2,4,4,1,1
10,h7lsupb7,5b1e7d4e68a5ed000173b3dd,0,21,21,si_experiment,End,2022-09-01 13:26:32.357527,1,,,0.0,both,"['pers_inno3', 'pers_inno2', 'pers_inno1', 'soc_norms', 'del_grat']","['emo_trust_t1_2', 'emo_trust_t1_3', 'emo_trust_t1_1', 'cog_trust_t1_3', 'cog_trust_t1_2', 'cog_trust_t1_1', 'integ_trust_t1_3', 'integ_trust_t1_2', 'integ_trust_t1_1', 'anthro_t1_1', 'anthro_t1_2', 'anthro_t1_3', 'transparency_t1']","['emo_trust_t2_2', 'emo_trust_t2_3', 'emo_trust_t2_1', 'cog_trust_t2_3', 'cog_trust_t2_2', 'cog_trust_t2_1', 'integ_trust_t2_3', 'integ_trust_t2_2', 'integ_trust_t2_1', 'anthro_t2_1', 'anthro_t2_2', 'anthro_t2_3', 'transparency_t2']",4,9,0,1,acc,1,1,1,0.851304896335102,0,0.3,grj9bsph,,,,,0,1.0,0.0,si_experiment,10,,0.0,0,1,31,0,2,0,3,3,2,5,Politische Ansichten,Migrationshintergrund,Geschlecht,1,2,2,Politische Ansichten,Migrationshintergrund,Geschlecht,3,3,3,4,3,4,2,5,340000,4,60,3,60.0,65.0,50.0,2,1,6,340000,4,80,4,2,2,1,1,4,4,3,2,2,3,3,4,4,4,2,2,2,4,4,4,2,1,3,3,4,4,1,1
