Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6310aecf48fc21848fb58657,5d584e8d6c6798000122a0f1,APPROVED,2022-09-01T13:08:36.087000Z,2022-09-01T13:25:40.196000Z,2022-09-01T17:03:54.727000,2022-09-01T13:25:40.577220Z,1025,CA03AWEI,373,1,100,"English, German",31,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6310af6784242ad0578f7ff1,628ba2d1d5fcb79761db5c0a,APPROVED,2022-09-01T13:11:10.247000Z,2022-09-01T13:22:02.072000Z,2022-09-01T17:03:56.477000,2022-09-01T13:22:02.530811Z,652,CA03AWEI,74,2,99,"German, English",28,Female,White,Germany,Germany,Germany,German,No,Part-Time
6310b0a1a83a76b663465832,627c1a5ce19df40c98b28185,APPROVED,2022-09-01T13:16:20.679000Z,2022-09-01T13:30:16.310000Z,2022-09-01T17:03:57.153000,2022-09-01T13:30:16.692372Z,836,CA03AWEI,96,1,100,"French, Italian, Spanish, Portuguese, German, English",30,Female,White,Italy,Germany,Italy,Italian,No,Full-Time
6310b0faa303712be483033c,5bafbfa456161d0001fe9292,APPROVED,2022-09-01T13:17:54.660000Z,2022-09-01T13:29:27.397000Z,2022-09-01T17:03:58.381000,2022-09-01T13:29:27.779171Z,693,CA03AWEI,85,0,100,"German, English",24,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
6310b13da04f8a46a8b5a465,60548f4c7e12da7443c545ae,APPROVED,2022-09-01T13:18:59.130000Z,2022-09-01T13:36:22.081000Z,2022-09-01T17:03:59.312000,2022-09-01T13:36:22.456125Z,1043,CA03AWEI,369,2,100,"English, French, German",26,Female,White,United States,Germany,United States,English,No,Part-Time
6310b147836af2f025e1fe40,60feadf0d5c4363ce1f0eb44,APPROVED,2022-09-01T13:19:03.403000Z,2022-09-01T13:33:18.798000Z,2022-09-01T17:04:00.505000,2022-09-01T13:33:19.194122Z,856,CA03AWEI,189,3,98,"English, German, Russian",21,Female,White,Germany,Germany,Germany,Russian,Yes,Other
6310b1f42863915df688a610,627bede33c39b388836c196d,APPROVED,2022-09-01T13:22:13.995000Z,2022-09-01T13:35:33.167000Z,2022-09-01T17:04:01.713000,2022-09-01T13:35:35.435356Z,800,CA03AWEI,57,2,99,"English, German",26,Male,White,Germany,Germany,Germany,German,No,Full-Time
6310b21d77346cf41c8f7fc8,5fb42f807e81960acbfdb22e,APPROVED,2022-09-01T13:22:37.400000Z,2022-09-01T13:32:27.160000Z,2022-09-01T17:04:02.852000,2022-09-01T13:32:27.589428Z,590,CA03AWEI,327,0,100,"English, German",39,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
6310b2d24b4096adc56b99f9,5e82f12526ad9900094511f9,APPROVED,2022-09-01T13:25:41.186000Z,2022-09-01T13:33:26.671000Z,2022-09-01T17:04:03.819000,2022-09-01T13:33:27.147123Z,466,CA03AWEI,505,5,99,"German, English",21,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
6310b2ffd7438651921f55bf,5e5fbff6de7bcc2fc7f396db,APPROVED,2022-09-01T13:26:35.428000Z,2022-09-01T13:32:51.137000Z,2022-09-01T17:04:06.288000,2022-09-01T13:32:51.535430Z,376,CA03AWEI,1056,6,100,"English, German, Greek",28,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
6310b302c43568718a5edd50,5b1e7d4e68a5ed000173b3dd,APPROVED,2022-09-01T13:26:30.930000Z,2022-09-01T13:34:44.327000Z,2022-09-01T17:04:05.113000,2022-09-01T13:34:45.145641Z,494,CA03AWEI,664,4,100,"German, English",31,Male,White,Germany,Germany,Germany,German,No,Full-Time
6310b387ebe2e12b417a2c5c,60188e70aac0c8161be05589,APPROVED,2022-09-01T13:28:39.042000Z,2022-09-01T13:38:07.149000Z,2022-09-01T17:04:07.539000,2022-09-01T13:38:07.519412Z,569,CA03AWEI,594,0,100,"English, German",35,Male,White,Germany,Germany,Germany,German,No,Part-Time
6310b3a3709a5b989538b178,5cf6a27fad94a70001a80ea6,APPROVED,2022-09-01T13:29:10.133000Z,2022-09-01T13:44:47.605000Z,2022-09-01T17:04:08.321000,2022-09-01T13:44:48.040167Z,938,CA03AWEI,837,0,100,"Russian, English, German",34,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
6310b3d977346cf41c8f7fff,5ae203d63cb5b0000185ccc7,APPROVED,2022-09-01T13:30:07.146000Z,2022-09-01T13:46:02.765000Z,2022-09-01T17:04:10.392000,2022-09-01T13:46:03.136483Z,956,CA03AWEI,829,2,100,"English, German",32,Female,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
6310b3dde7bb51bdc26583e2,603a80b01bb75f608c3dbb0d,APPROVED,2022-09-01T13:30:05.353000Z,2022-09-01T13:38:28.017000Z,2022-09-01T17:04:09.840000,2022-09-01T13:38:28.484023Z,503,CA03AWEI,403,5,99,"English, German, French",36,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Part-Time
6310b4465bd155405665838b,61546b0482f1a6b5ec440050,APPROVED,2022-09-01T13:31:53.844000Z,2022-09-01T14:06:01.115000Z,2022-09-01T17:04:11.314000,2022-09-01T14:06:01.477520Z,2048,CA03AWEI,219,2,100,"English, German",47,Male,White,Germany,Germany,Germany,German,No,Full-Time
6310b47b272e173326465872,5f17d20539078c0800cb4e7b,APPROVED,2022-09-01T13:32:47.195000Z,2022-09-01T13:49:08.856000Z,2022-09-01T17:04:12.183000,2022-09-01T13:49:09.290363Z,982,CA03AWEI,604,5,99,German,51,Male,White,Germany,Germany,Germany,German,No,Full-Time
6310b4d6c0717426ac8421ba,5daed081ff30f700156bc732,APPROVED,2022-09-01T13:34:20.181000Z,2022-09-01T14:22:14.571000Z,2022-09-01T17:04:16.420000,2022-09-01T14:22:15.289394Z,2875,CA03AWEI,538,2,100,"Danish, English, French, German, Norwegian, Swedish",36,Male,White,Germany,Germany,Germany,German,No,Part-Time
6310b5443410ca909a9adec5,60fe00384dd724a28705ed7c,APPROVED,2022-09-01T13:36:08.016000Z,2022-09-01T13:49:21.380000Z,2022-09-01T17:04:17.156000,2022-09-01T13:49:21.745840Z,794,CA03AWEI,41,0,100,"English, German, Lithuanian, Russian",24,Female,White,Lithuania,Germany,Lithuania,Lithuanian,No,Full-Time
6310b6c8def781c046b8b64a,62e195905c5e45c04d70ce0d,APPROVED,2022-09-01T13:42:36.284000Z,2022-09-01T13:49:50.462000Z,2022-09-01T17:04:20.664000,2022-09-01T13:49:50.887652Z,435,CA03AWEI,15,0,100,"German, English",25,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
6310d265f165ea9198928e37,5f298b2b7823df0a46e25d81,APPROVED,2022-09-01T15:40:27.011000Z,2022-09-01T15:52:40.432000Z,2022-09-01T17:04:21.510000,2022-09-01T15:52:40.874234Z,734,CA03AWEI,566,0,100,"English, German",43,Female,White,Germany,Germany,Germany,German,No,Part-Time
6310d31b841877469e42784d,5c71fe84cbfa390001baa9df,APPROVED,2022-09-01T15:43:27.324000Z,2022-09-01T15:57:44.039000Z,2022-09-01T17:04:23.108000,2022-09-01T15:57:44.409906Z,857,CA03AWEI,407,1,100,"English, German",30,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
6310d346ce01de7b9985f90e,5da727bfc2a70a0011a128e0,APPROVED,2022-09-01T15:44:10.757000Z,2022-09-01T15:57:28.125000Z,2022-09-01T17:04:23.964000,2022-09-01T15:57:28.479454Z,798,CA03AWEI,815,6,98,"English, German",59,Female,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
6310d3a856e0cda7b122cd88,5f4cd7926e1f3e8ed56bd215,APPROVED,2022-09-01T15:47:45.866000Z,2022-09-01T15:54:36.943000Z,2022-09-01T17:04:25.859000,2022-09-01T15:54:37.442434Z,412,CA03AWEI,441,2,100,"German, English",20,Male,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
6310d3f92880c5f06f0298d4,5f0da75fa4d2c800096f6b60,APPROVED,2022-09-01T15:47:07.921000Z,2022-09-01T16:02:35.142000Z,2022-09-01T17:04:24.679000,2022-09-01T16:02:35.559073Z,928,CA03AWEI,162,2,100,"German, English",26,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Full-Time
6310d45aeb3bbfeb11b2d2c9,5bbbdca68f3bd70001e713ef,APPROVED,2022-09-01T15:48:42.099000Z,2022-09-01T16:05:32.035000Z,2022-09-01T17:04:27.064000,2022-09-01T16:05:32.491004Z,1010,CA03AWEI,873,5,99,"German, English",34,Male,White,Germany,Germany,Germany,German,No,Part-Time
6310d4788c16dcded8be1da7,61070826a6fd441fb9be6d05,APPROVED,2022-09-01T15:49:15.627000Z,2022-09-01T16:09:03.006000Z,2022-09-01T17:04:27.804000,2022-09-01T16:09:09.616595Z,1188,CA03AWEI,160,0,100,"German, English, French",21,Female,Black,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6310d547a6ff179957540edc,5e9da350559b8209baec1e58,APPROVED,2022-09-01T15:52:43.966000Z,2022-09-01T16:02:39.912000Z,2022-09-01T17:04:29.963000,2022-09-01T16:02:40.299421Z,596,CA03AWEI,372,1,100,"English, German",36,Female,White,United Kingdom,Germany,United Kingdom,English,No,Part-Time
6310d59ce8a932ee1eb528b7,602e414eb88b0796a13f85fb,APPROVED,2022-09-01T15:54:08.904000Z,2022-09-01T16:12:38.772000Z,2022-09-02T06:56:32.703000,2022-09-01T16:12:39.106235Z,1110,CA03AWEI,124,4,98,"Italian, German",44,Male,White,Italy,Germany,Italy,Italian,DATA_EXPIRED,DATA_EXPIRED
6310d5e1df55eeff0c1bbb5b,5f235b5958bf82063d91be7c,APPROVED,2022-09-01T15:55:16.472000Z,2022-09-01T16:04:13.012000Z,2022-09-01T17:04:30.777000,2022-09-01T16:04:13.335918Z,537,CA03AWEI,336,1,100,"German, English",32,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6310d5fc6edcb42a40b52882,629881da918d19b08215e443,APPROVED,2022-09-01T15:55:40.606000Z,2022-09-01T16:19:29.439000Z,2022-09-02T06:56:31.255000,2022-09-01T16:19:29.824383Z,1429,CA03AWEI,117,1,100,"German, English",40,Male,White,Germany,Germany,Germany,German,No,Full-Time
6310d62ac133ff32385a1536,60fd5786ae4a23c7d756b245,APPROVED,2022-09-01T15:56:30.685000Z,2022-09-01T16:05:23.287000Z,2022-09-01T17:04:31.980000,2022-09-01T16:05:23.720690Z,533,CA03AWEI,143,1,100,"English, German",19,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6310d62bd9c0f08f36289d4e,615465fb04825a6c8e0f94ec,APPROVED,2022-09-01T15:56:31.495000Z,2022-09-01T16:12:20.139000Z,2022-09-01T17:04:32.883000,2022-09-01T16:12:20.571331Z,949,CA03AWEI,351,3,100,"German, English",26,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
6310d66585039e079ec0a21f,5b18cca868a5ed0001734bfe,APPROVED,2022-09-01T15:57:29.549000Z,2022-09-01T16:11:44.190000Z,2022-09-01T17:04:34.105000,2022-09-01T16:11:44.535649Z,855,CA03AWEI,838,3,100,"German, English",28,Male,Asian,Germany,Germany,Malaysia,German,No,Full-Time
6310d6b2c9f8502c7dfc7f37,5e986435a93c9104ab935f20,APPROVED,2022-09-01T15:58:42.678000Z,2022-09-01T16:09:50.266000Z,2022-09-01T17:04:35.046000,2022-09-01T16:09:50.654244Z,668,CA03AWEI,826,3,100,"English, German",32,Male,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
6310d6ed8affc2192385f91d,5f247ac02b2b8805b6cce266,APPROVED,2022-09-01T15:59:47.035000Z,2022-09-01T16:11:19.907000Z,2022-09-01T17:04:35.659000,2022-09-01T16:11:20.280968Z,693,CA03AWEI,406,6,99,"English, German, Tamil",38,Male,Asian,India,Germany,India,English,No,Full-Time
6310d74fbdc87ed1e33c57ab,6154d1ad6039a7b481511037,APPROVED,2022-09-01T16:01:19.122000Z,2022-09-01T16:15:21.006000Z,2022-09-02T06:56:29.007000,2022-09-01T16:15:21.396723Z,842,CA03AWEI,468,2,100,"German, English",65,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6310d791f849c97fe4846319,5d43c606773d8b00016eaa8a,APPROVED,2022-09-01T16:02:39.700000Z,2022-09-01T16:13:46.197000Z,2022-09-01T17:04:37.416000,2022-09-01T16:13:46.615918Z,667,CA03AWEI,910,2,100,"German, English",50,Female,White,Germany,Germany,Germany,German,No,Part-Time
6310d952cd3e4e7a40540f32,5c9d3b286b36c400013cc4c2,APPROVED,2022-09-01T16:10:48.393000Z,2022-09-01T16:35:52.606000Z,2022-09-02T06:56:26.091000,2022-09-01T16:35:53.043309Z,1505,CA03AWEI,341,5,98,"English, German, Turkish",29,Female,White,Turkey,Germany,Turkey,Turkish,No,Unemployed (and job seeking)
6310d95ba0c5cf5daa7366aa,5c10fe729c4aaf000137f289,APPROVED,2022-09-01T16:10:46.944000Z,2022-09-01T16:35:58.298000Z,2022-09-02T06:56:27.004000,2022-09-01T16:35:58.703550Z,1512,CA03AWEI,136,2,99,"German, English, Turkish",30,Male,White,Turkey,Germany,Turkey,Turkish,No,Full-Time
