,wtp_none,wtp_dev,wtp_treateff,woa_none,woa_dev,woa_treateff,g1_sticky_none,g1_sticky_dev,g1_sticky_treateff,g1_predonly_none,g1_predonly_dev,g1_predonly_treateff
"('sex_mig_prolific', 'aggregated', 'robust')",0.29400781829188805,0.39083906856150985,0.7045773051619574,0.08180026392187356,0.07812268923647474,0.3612430820723015,0.2814064981001222,0.0007887927734338867,0.29817375203967167,0.22286609459699647,0.0050747492355651255,0.24233835829595085
"('sex_mig_prolific', 'aggregated', 'dev_cluster')",0.24529350297901972,0.12312362873836473,0.5826280450039183,0.039907321791742216,0.08653654432983103,0.5309350414966798,0.21588281509619422,0.056653629937955766,0.2817987407524616,0.1573082056140422,0.05278490621481425,0.24347730170610316
"('sex_mig_prolific', 'aggregated', 'task_cluster')",0.2625656822994317,0.7568547225893176,0.9056123040900811,0.28666136145579485,0.050777624679822296,0.11493602621986505,0.40700098579566163,0.0868141650878519,0.42733220452134224,0.46039288921030863,0.029095196234044336,0.5372186393984908
"('sex_mig_prolific', 'aggregated', 'dev_task_cluster')",0.2337577537531588,0.5327206996202005,0.7719661543244969,0.056211656096671905,0.2266628986488774,0.36173312886845815,0.10963538487710466,0.007692087850906399,0.2835758693617544,0.10870037907212639,0.03402451186040774,0.2600014818173127
"('sex_mig_prolific', 'aggregated', 'stage_cluster')",0.3100224847018277,0.7264368277226491,0.8936251578595346,0.04829676399971796,0.03976200362267129,0.28019618606230445,0.715393703130382,0.012868683730085248,0.03902295209124631,0.6789671859639554,0.2580242433535711,0.05873887564731092
"('sex_mig_prolific', 'aggregated', 'dev_stage_cluster')",0.27233246651809706,0.48482292490347084,0.8071864903770389,0.1638576561019813,0.1250961983184857,0.3453642649947865,0.430296137956637,0.0279714993315396,0.18566042134856492,0.3626064568950421,0.09763756415107412,0.1673157775976819
"('sex_mig_prolific', 'aggregated weighted', 'robust')",0.21202692032906645,0.5825112959428541,0.7869893929777458,0.22956166491231866,0.2136888938574436,0.16429695699598645,0.5221132929408722,0.0018386541469142296,0.07405469556661938,0.6066209554360564,0.017595576005971614,0.055091447665949915
"('sex_mig_prolific', 'aggregated weighted', 'dev_cluster')",0.19089328591786306,0.35626010635515326,0.802359647358419,0.06559420785607782,0.16263947217471098,0.20972457096776953,0.4693753613914742,0.0800401189188112,0.16827278482666957,0.47233381581228184,0.1257511226234498,0.13144277188375228
"('sex_mig_prolific', 'aggregated weighted', 'task_cluster')",0.27950728704302247,0.8180638308486581,0.9307817383250419,0.391259509188988,0.261108897327699,0.28737466168959636,0.5106513495834673,0.061897574884244466,0.13670673625319946,0.5045041022159394,0.17022327245945873,0.1275402365763741
"('sex_mig_prolific', 'aggregated weighted', 'dev_task_cluster')",0.15575789467760487,0.6796989647400687,0.8404859462105435,0.24631554714447768,0.24989536187746036,0.21150596823740767,0.3396811737291692,0.011201909694296708,0.03838188893089557,0.3263942556555931,0.042749935052446904,0.03557451706538882
"('sex_mig_prolific', 'aggregated weighted', 'stage_cluster')",0.04808613758503911,0.7772062839684569,0.8855487437421795,0.11315595254843515,0.46144548322267487,0.2647919126764732,0.7830110891344472,0.02790815816824821,0.0978731173468658,0.8158891705308348,0.07867908321146912,0.19594938709834384
"('sex_mig_prolific', 'aggregated weighted', 'dev_stage_cluster')",0.07934469132802248,0.6117041588359042,0.8479276578262144,0.35956923319753104,0.2458940864632798,0.1805345145041156,0.6111585620315445,0.054883658033159366,0.0390230648702078,0.6124829067243448,0.17427158211237365,0.059357369983163225
"('sex_mig_prolific', 'single', 'robust')",0.14734695588989544,0.09709588059136234,0.08244609568417527,0.18060049723083638,0.03621230033033085,0.23307191962276974,0.24833818744422265,0.01456708248801686,0.45186582201842684,0.1849007338140064,0.014613864291848702,0.37597465775119665
"('sex_mig_prolific', 'single', 'dev_cluster')",0.007593976663708995,0.04668073257873981,0.04152708285959247,0.05825228433582083,0.0010793977048371023,0.09422717141813806,0.19219143234989322,0.008118430692386524,0.3047207308127855,0.2461730566377748,0.04820169356007126,0.3779461254317419
"('sex_mig_prolific', 'single', 'task_cluster')",0.04546004610187911,0.2922875860190371,0.14687677135822474,0.005639261250879394,0.35029855015916317,0.0852407917557535,0.11514341935249155,0.01073851496678639,0.44876214449684276,0.22824867220320702,0.09232198908672293,0.44940132752396844
"('sex_mig_prolific', 'single', 'dev_task_cluster')",0.08628281243514933,0.04492815694370027,0.10068222030847157,0.04367548673966937,0.023300737383797235,0.04256578703390688,0.04735387704367365,0.020337722426893384,0.27939379434734646,0.1776385667017255,0.018723456021750566,0.29825057881880557
"('sex_mig_prolific', 'single', 'stage_cluster')",0.03458150009635295,0.3559358006313386,0.2531628558016692,0.04540713409529837,0.15539870552285262,0.018142656972430102,0.44440444952994496,0.05196697573735103,0.3102231820739988,0.1237154304705311,0.042971421791107814,0.6181873887521755
"('sex_mig_prolific', 'single', 'dev_stage_cluster')",0.006038061808046784,0.0713110365998322,0.08692506354010102,0.0974779322688114,0.03417339533627678,0.1652034651225417,0.24541635710663554,0.03201891174722914,0.44456891965564554,0.3022218366041066,0.05376086172785751,0.43519300777336795
"('sex_mig_prolific', 'single weighted rel', 'robust')",0.4022727241845515,0.09084231672287298,0.23052684334716123,0.15232455566961262,0.10827451953686318,0.464014512173225,0.3127075826246317,0.005331299624860001,0.24831450041660785,0.44416668608663235,0.021342320112534962,0.3299755284497583
"('sex_mig_prolific', 'single weighted rel', 'dev_cluster')",0.13265141505614822,0.010731631288400508,0.013400678100520274,0.1317896255541704,0.0806522762696513,0.28102497252693037,0.12041887035835726,0.015166053903311869,0.11935556019560647,0.12839491316822832,0.0015314313166654853,0.3503550803929316
"('sex_mig_prolific', 'single weighted rel', 'task_cluster')",0.28467089319719235,0.07901525419574303,0.05893491078358837,0.10783457779762656,0.4746002345519828,0.18381391165271702,0.10900709952498644,0.1069144648713071,0.24755783216651636,0.0701614830722136,0.10815569843507895,0.3527646644287149
"('sex_mig_prolific', 'single weighted rel', 'dev_task_cluster')",0.34424588540737583,0.016958782120585946,0.11878079795736551,0.10353234602995523,0.12572507174638942,0.1340212476012628,0.18909119487428377,0.019246185634335996,0.3424598256584696,0.27068079237657794,0.03483939917215264,0.2546149345481197
"('sex_mig_prolific', 'single weighted rel', 'stage_cluster')",0.11051355411787515,0.33556633139709385,0.42116261009965567,0.1212923761047245,0.12377017328771327,0.014183074911909515,0.6589684727436232,0.08786919572064658,0.27755840616482197,0.29412547583495263,0.09723440163067207,0.06955616673130988
"('sex_mig_prolific', 'single weighted rel', 'dev_stage_cluster')",0.09753699554089497,0.05107167706548296,0.2385081841836419,0.29344431387710307,0.11207074503081119,0.3080753177059406,0.4293785888998185,0.024973147591007664,0.38325352268361873,0.5315213459487463,0.006621178169469633,0.4063691009805221
"('sex_mig_prolific', 'single weighted abs', 'robust')",0.23039116830686313,0.06838408906266957,0.17227600492561623,0.22054489862296478,0.08913052226446708,0.2556632917458974,0.13940123083572922,0.012825366187717555,0.09355448654366112,0.6983444748601487,0.03132723088385625,0.25536177349851497
"('sex_mig_prolific', 'single weighted abs', 'dev_cluster')",0.03317055911032096,0.012267920027657555,0.026022600826695746,0.19635918870613622,0.02760714037308461,0.2102373459650754,0.18319769274809405,0.01672150545825726,0.08664569678892721,0.44788606831634037,0.011917803940670622,0.25959458377512173
"('sex_mig_prolific', 'single weighted abs', 'task_cluster')",0.1782022693438018,0.008955210448048007,0.10183754153709346,0.3121870580421928,0.4258447245790245,0.04857246172739574,0.24542616805208725,0.04350221536259286,0.08753412601014605,0.5241839714964094,0.06052464768404473,0.08363586540831953
"('sex_mig_prolific', 'single weighted abs', 'dev_task_cluster')",0.14754451059003693,0.03326217930583816,0.010003744638828097,0.2613232439553988,0.06579874232837332,0.0442302902443749,0.14957753482828137,0.024687609958096476,0.2311172639032657,0.5003199259675146,0.02280232095278898,0.14820177173864638
"('sex_mig_prolific', 'single weighted abs', 'stage_cluster')",0.02425478374773554,0.3932606326716222,0.2578297155979393,0.13450644474761486,0.19948488860820174,0.0379858166094247,0.47266936017887723,0.025782513847071222,0.23895953925529065,0.18752561679038024,0.0984417742904864,0.2957390522487217
"('sex_mig_prolific', 'single weighted abs', 'dev_stage_cluster')",0.0022159623723746356,0.0604049829510995,0.27051722125797373,0.33733871642021335,0.041857088199548836,0.199446565126046,0.31933134660677936,0.038632783947548405,0.271754189536854,0.736743643762561,0.023746805055598032,0.3930860034748904
"('raw', 'aggregated', 'robust')",0.32100630742175507,0.8965248764926389,0.8812597730640882,0.06833757580520294,0.07523058942926886,0.323177341933108,0.23111710827394993,0.00028101066696846727,0.31109705050646275,0.18000684918576915,0.002262542268609801,0.20335811873257503
"('raw', 'aggregated', 'dev_cluster')",0.4664721670998164,0.7287454892196985,0.6950946872959218,0.024620616213072318,0.10264556770519961,0.547679033936433,0.18399642304565764,0.07642077219541228,0.41817012583379887,0.11992549984128849,0.08569577963684603,0.3310130775944524
"('raw', 'aggregated', 'task_cluster')",0.2802761042615622,0.9509229317656541,0.9590220690651161,0.43580985151782725,0.14039163490429785,0.487885869705114,0.1528774981467674,0.07992570107995445,0.3897466316533136,0.08886376316005895,0.011381659461097173,0.36715720863877727
"('raw', 'aggregated', 'dev_task_cluster')",0.38352838443415926,0.9145671900276298,0.9021200246553085,0.14839271440040772,0.20676352837007003,0.3828760614205198,0.07708525655867163,0.00711984582368701,0.26823170630244075,0.04332210842296268,0.03297153750507619,0.2021810952423492
"('raw', 'aggregated', 'stage_cluster')",0.5142483183794162,0.9537145413257798,0.9645790801769217,0.0024213925579345237,0.012673075110350965,0.11466128293527285,0.60107949058924,0.028864359168177305,0.17153702777626634,0.5600605739334437,0.23188853494846032,0.23893428950629234
"('raw', 'aggregated', 'dev_stage_cluster')",0.3678781741277476,0.9085374264275015,0.922003801578539,0.028893427361124206,0.16838293486381825,0.35773987562293785,0.23256929677993446,0.02118338067776096,0.31623486451014,0.21016667788474425,0.08659929408649263,0.24461207514166905
"('raw', 'aggregated weighted', 'robust')",0.26298363106642153,0.7455131458353883,0.7870748479249459,0.30765894848252884,0.2639357181410833,0.13040241175452005,0.2917016700009406,0.0006149024054132024,0.05305186709246281,0.42580917126047124,0.013626959281676634,0.03758369553907266
