,avg_align,user,date,hashtags,tweet,followers_count,created,verified,url,reply_count,retweet_count,quote_count,like_count,view_count,media,retweeded_tweet,quoted_tweet,in_reply_to_user,mentioned_users,tw_content,Unnamed: 0,domain,l2,l1,n,r1,r2,website,Twitter,twitt_list,handles,vader_sentiment,negative_sentiment,neutral_sentiment,positive_sentiment,compound_sentiment
0,-0.9673,commondreams,2023-02-05 02:41:09+00:00,['chatgpt'],Do we really know where this is headed? Do those we elect even know what AI and ChatGPT are capable of? https://t.co/96WGck3lEz,86425,2008-04-03 19:54:13+00:00,True,https://twitter.com/commondreams/status/1622062744571715591,2,2,1,7,1053.0,"[Photo(previewUrl='https://pbs.twimg.com/media/FnVGLqAXgAA4SeB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FnVGLqAXgAA4SeB?format=jpg&name=orig', altText='Screenshot of ChatGPT writing sample ')]",,,,,Do we really know where this is headed? Do those we elect even know what AI and ChatGPT are capable of? ,2,www.commondreams.org,0.8944,0.0945,0.0108,0.0001,0.0002,https://www.commondreams.org,"['https://twitter.com/RepRaskin/status/1633890473285...', 'https://twitter.com/TheElders/status/1633472809128140802', 'https://twitter.com/StevieVanZandt/status/16244882...', 'https://twitter.com/foe_us/status/1634217137106477057', 'https://twitter.com/teachersalary', 'https://twitter.com/mattduss/status/1633974536612769793', 'https://twitter.com/WajahatAli/status/1633965964990595073', 'https://twitter.com/ggjalliance/status/1635305872141471745', 'https://twitter.com/Acyn/status/163357239467274649...', 'https://twitter.com/Rachel_Maclean/status/1633197691198132225', 'https://twitter.com/sylverlining/status/1635259680351047680', 'https://twitter.com/Acyn/status/1630658530184409088', 'https://twitter.com/therecount/status/163098493392...', 'https://twitter.com/AaronParnas/status/16309517925...', 'https://twitter.com/ShalinGala/status/1635363049677950978', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/vermont-public-university-libaries-digital&text=%27Save%20the%20Books%27%3A%20Outcry%20Grows%20Over%20Digital%20Plan%20for%20Vermont%20College%20Libraries&', 'https://twitter.com/CommonDreams', 'https://twitter.com/Acyn/status/1630673738311294978', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/havana-syndrome&text=PETA%20Urges%20Pentagon%20to%20Stop%20%27Cruel%27%20Pulsed%20Radiation%20Experiments%20on%20Animals&', 'https://twitter.com/therecount/status/163358111323...', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/biden-approves-willow-project-2659589341&text=Green%20Groups%20Vow%20Fight%20After%20Biden%20Climate%20%27Betrayal%27&', 'https://twitter.com/ndncollective/status/1633141734065438721', 'https://twitter.com/JvpAction/status/1634221056138399745', 'https://twitter.com/EllenSherratt/status/1633916240631681025', 'https://twitter.com/theIMEU/status/1634274920510418944', 'https://twitter.com/SenSanders/status/1633911245085483010', 'https://twitter.com/harrylitman/status/1633964969762111489', 'https://twitter.com/hashtag/StopWillow', 'https://twitter.com/Acyn/status/163068570730299801...', 'https://twitter.com/Acyn/status/1630609204842201088', 'https://twitter.com/ndncollective/status/1633242528043630592', 'https://twitter.com/ddale8/status/1630955415746883586', 'https://twitter.com/Acyn/status/163070984465403085...', 'https://twitter.com/therecount/status/163061214079...', 'https://twitter.com/Acyn/status/163060920484220108...', 'https://twitter.com/bezalelsm/status/1632112780949041155', 'https://twitter.com/laraseligman/status/1635269483953807364', 'https://twitter.com/RonFilipkowski/status/16306222...', 'https://twitter.com/jamieclimate/status/1633972707883732995', 'https://twitter.com/MondaireJones/status/1633965725265313793', 'https://twitter.com/Acyn/status/163070541729783398...', 'https://twitter.com/atrupar/status/1630621020393553943?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1630621020393553943%7Ctwgr%5Ea9485c18e644a824adb39cdea494874eda63525f%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.wonkette.com%2Fr%2Fentryeditor%2F2659481544publish', 'https://twitter.com/VTpollster/status/1629216312034725888', 'https://twitter.com/RepDanGoldman/status/162409977...', 'https://twitter.com/justinbaragona/status/1631035159112736771?s=20', 'https://twitter.com/atrupar/status/163062102039355...']","['https://twitter.com/hashtag/stopwillow', 'https://twitter.com/commondreams', 'https://twitter.com/teachersalary']",commondreams,"{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.4515}",0.0,0.9355,0.0645,0.22575
1,-0.9463,thenation,2023-01-22 23:00:03+00:00,,"ChatGPT did not cause our plagiarism problem. It has only automated or deskilled the essay mill industry already churning out papers for pay. Let's think about why that industry really exists to begin with.
https://t.co/rPE3pZ2UCi",1248632,2007-03-22 22:34:57+00:00,True,https://twitter.com/thenation/status/1617296059214008321,1,7,0,15,5725.0,,,,,,"ChatGPT did not cause our plagiarism problem. It has only automated or deskilled the essay mill industry already churning out papers for pay. Let's think about why that industry really exists to begin with.
",6,www.thenation.com,0.8956,0.1011,0.003,0.0001,0.0002,https://www.thenation.com,['https://twitter.com/thenation'],['https://twitter.com/thenation'],thenation,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4767}",0.038,0.895,0.067,0.10053333333333332
2,-0.8565,truthdig,2023-02-17 20:26:32+00:00,"['chatGPT', 'AI']","The chatbot has some guardrails in place to curb disinformation, but it’ll be a game of constant catch-up.

#chatGPT #AI

https://t.co/8JYIRbjmL2",83555,2008-08-22 21:45:16+00:00,True,https://twitter.com/Truthdig/status/1626679513277947905,0,0,0,5,762.0,,,,,,"The chatbot has some guardrails in place to curb disinformation, but it’ll be a game of constant catch-up.

#chatGPT #AI

",38,www.truthdig.com,0.799,0.1909,0.0091,0.0007,0.0003,https://www.truthdig.com,['https://twitter.com/Truthdig'],['https://twitter.com/truthdig'],truthdig,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
3,-0.8102,msnbc,2023-02-13 22:30:03+00:00,,Zeeshan Aleem: These right-wingers are a little too concerned over ChatGPT's refusal to use racial slurs. https://t.co/BcdrvVYffu,4999527,2007-03-29 13:15:41+00:00,True,https://twitter.com/MSNBC/status/1625261045014048769,30,6,0,18,25716.0,,,,,,Zeeshan Aleem: These right-wingers are a little too concerned over ChatGPT's refusal to use racial slurs. ,48,www.msnbc.com,0.894,0.0762,0.0089,0.0178,0.003,https://www.msnbc.com,['https://www.twitter.com/msnbc'],['https://www.twitter.com/msnbc'],msnbc,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
4,-0.7585,madisondotcom,2023-02-04 21:43:02+00:00,,The maker of ChatGPT is trying to curb its reputation as a freewheeling cheating machine with a new tool that can help teachers detect if a student or artificial intelligence wrote that homework. https://t.co/VKvitdtJeK,38897,2009-03-11 20:54:46+00:00,False,https://twitter.com/madisondotcom/status/1621987720888188930,0,0,0,1,396.0,,,,,,The maker of ChatGPT is trying to curb its reputation as a freewheeling cheating machine with a new tool that can help teachers detect if a student or artificial intelligence wrote that homework. ,62,host.madison.com,0.8052,0.1324,0.0306,0.0126,0.0191,https://host.madison.com,['https://twitter.com/madisondotcom'],['https://twitter.com/madisondotcom'],madisondotcom,"{'neg': 0.09, 'neu': 0.727, 'pos': 0.183, 'compound': 0.4019}",0.09,0.727,0.183,0.4019
5,-0.7584,newyorker,2023-02-28 01:43:45+00:00,,The science-fiction writer Ted Chiang explores how ChatGPT works and what it could—and could not—replace: https://t.co/9KJiG1HPeL,8969287,2008-05-06 19:36:33+00:00,True,https://twitter.com/NewYorker/status/1630383219781632000,6,19,3,82,56481.0,"[Video(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1625269170089721863/img/mDKECcJUB1r-bBUd.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1625269170089721863/vid/720x842/9zvLSawyo-z3CMNo.mp4?tag=16', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1625269170089721863/vid/320x374/x87zqBLfWBOYmxHB.mp4?tag=16', contentType='video/mp4', bitrate=632000), VideoVariant(url='https://video.twimg.com/amplify_video/1625269170089721863/vid/480x562/C3HSNIpTlGWZwxTg.mp4?tag=16', contentType='video/mp4', bitrate=950000), VideoVariant(url='https://video.twimg.com/amplify_video/1625269170089721863/pl/HAp4rcQaXMLC8zJ7.m3u8?tag=16&container=fmp4', contentType='application/x-mpegURL', bitrate=None)], duration=10.0, views=24317, altText=None)]",,,https://twitter.com/NewYorker,"[User(username='andrewmarantz', id=75875590, displayname='Andrew Marantz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='andrewmarantz', id=75875590, displayname='Andrew Marantz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",The science-fiction writer Ted Chiang explores how ChatGPT works and what it could—and could not—replace: ,63,www.newyorker.com,0.8642,0.1235,0.0078,0.0043,0.0002,https://www.newyorker.com,"['https://twitter.com/NewYorker/', 'https://twitter.com/intent/tweet/?url=https%3A%2F%2Fwww.newyorker.com%2Fcartoon%2Fa27641%3Futm_source%3Dtwitter%26utm_medium%3Dsocial%26utm_campaign%3Donsite-share%26utm_brand%3Dthe-new-yorker%26utm_social-type%3Dearned&text=&via=NewYorker']",['https://twitter.com/newyorker'],newyorker,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.06,0.87275,0.067125,0.036150000000000015
6,-0.7415,gothamist,2023-02-02 18:05:06+00:00,,"Schools Chancellor David Banks says the New York City education department may soon issue new guidance on ChatGPT, possibly allowing its use “with guardrails.”

“We will be much more accepting of it."" https://t.co/HWNNpNxXDe",962910,2007-03-04 16:58:18+00:00,True,https://twitter.com/Gothamist/status/1621208099582271488,1,1,1,4,4920.0,"[Photo(previewUrl='https://pbs.twimg.com/media/FmB4-b2WQAQA1Lw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FmB4-b2WQAQA1Lw?format=jpg&name=orig', altText=None)]",,,,,"Schools Chancellor David Banks says the New York City education department may soon issue new guidance on ChatGPT, possibly allowing its use “with guardrails.”

“We will be much more accepting of it."" ",64,gothamist.com,0.6293,0.1973,0.1701,0.0033,0.0,https://gothamist.com,['https://twitter.com/gothamist'],['https://twitter.com/gothamist'],gothamist,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.4391}",0.06966666666666667,0.902,0.028333333333333335,-0.13369999999999999
7,-0.6813,slate,2023-02-28 08:26:38+00:00,,No human has BSed their way into journalism as audaciously as tools like ChatGPT. https://t.co/CLXiPKp2Fy,1712406,2008-06-19 01:08:29+00:00,False,https://twitter.com/Slate/status/1630484608260227074,0,2,0,3,6044.0,"[Photo(previewUrl='https://pbs.twimg.com/media/FnMERGwWYAA70Mi?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FnMERGwWYAA70Mi?format=png&name=orig', altText='Folks, let me tell you, this behavior from the mother-in-law is just not right. It’s not only disrespectful to the engaged couple but also illegal. It’s important that we address this issue immediately.\n\nNo one should be taking advantage of someone else’s finances, let alone planning a wedding without consent. We need to make sure that everyone involved is on the same page and that the engaged couple is in charge of their own wedding.\n\nWe should be setting boundaries and making it clear that these kinds of actions are not acceptable. We need to ensure that everyone is treating each other with respect and kindness.\n\nThis is a special day for the engaged couple, and we need to make sure it is a positive experience for all. We should be doing everything in our power to make sure that they have the wedding of their dreams.\n\nLet’s all work together to make sure that everyone is treated with dignity and respect.')]",,,https://twitter.com/Slate,"[User(username='jdickerson', id=4119741, displayname='John Dickerson', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",No human has BSed their way into journalism as audaciously as tools like ChatGPT. ,74,www.slate.com,0.6183,0.3083,0.0606,0.0112,0.0016,https://www.slate.com,['https://twitter.com/slate'],['https://twitter.com/slate'],slate,"{'neg': 0.132, 'neu': 0.719, 'pos': 0.15, 'compound': 0.0772}",0.03514285714285714,0.8711428571428571,0.09385714285714286,0.16705714285714285
8,-0.6695,newrepublic,2023-01-28 10:25:38+00:00,,".@fordm is skeptical that algorithmic chatbots like ChatGPT can ever replace genuine legal counsel. But if courts ever accept them, Trump will have his perfect lawyer: Something that says what he wants it to say and can’t be disbarred or sued for it. https://t.co/51gI1AiBLm",177404,2009-10-15 19:15:18+00:00,True,https://twitter.com/newrepublic/status/1619280532738547713,0,2,1,2,10796.0,,,,,"[User(username='fordm', id=26559241, displayname='Matt Ford', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",".@fordm is skeptical that algorithmic chatbots like ChatGPT can ever replace genuine legal counsel. But if courts ever accept them, Trump will have his perfect lawyer: Something that says what he wants it to say and can’t be disbarred or sued for it. ",77,www.newrepublic.com,0.7501,0.1501,0.0946,0.0041,0.0011,https://www.newrepublic.com,['https://www.twitter.com/newrepublic/'],['https://www.twitter.com/newrepublic'],newrepublic,"{'neg': 0.032, 'neu': 0.744, 'pos': 0.224, 'compound': 0.8689}",0.032,0.744,0.224,0.8689
9,-0.6591,voxdotcom,2023-02-06 21:10:08+00:00,,"Here comes Bard, Google’s version of ChatGPT https://t.co/iR718mfyiI",1021296,2014-02-16 15:46:00+00:00,True,https://twitter.com/voxdotcom/status/1622704219424796672,3,10,3,32,20478.0,,,,,,"Here comes Bard, Google’s version of ChatGPT ",79,www.vox.com,0.5967,0.3334,0.0494,0.0198,0.0007,https://www.vox.com,['https://twitter.com/voxdotcom'],['https://twitter.com/voxdotcom'],voxdotcom,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0
