garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
True,True,True,True,1.0,4.0,109.12,2020.0,709280.0,3,1,0,0,1,0,0,0,0
True,True,True,True,1.0,4.0,110.53,2020.0,712918.0,3,1,0,0,1,0,0,0,0
True,True,False,True,-1.0,4.5,100.0,1995.0,799000.0,1,1,0,0,1,0,0,0,0
False,False,True,False,-1.0,1.0,28.6,2021.0,402500.0,1,3,0,0,1,0,0,0,0
True,True,False,False,4.0,2.0,52.02,1900.0,555000.0,2,3,0,0,1,0,0,0,0
False,True,False,True,3.0,3.0,80.0,1950.0,825000.0,1,1,0,0,1,0,0,0,0
True,True,True,False,2.0,3.0,110.0,2015.0,1380000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,-1.0,3.0,65.9,1955.0,354500.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,91.7,2020.0,1711000.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,89.9,2020.0,1711000.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,93.2,2020.0,1773900.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,2.0,91.7,2020.0,1793500.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,4.0,184.9,2020.0,3484900.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,4.0,274.8,2020.0,8411200.0,1,1,0,0,1,0,0,0,0
True,True,True,True,-1.0,4.0,299.5,2020.0,9115200.0,1,1,0,0,1,0,0,0,0
False,True,True,True,4.0,2.0,62.8,1970.0,279800.0,1,1,0,0,1,0,0,0,0
True,True,False,True,4.0,3.0,72.48,1950.0,529000.0,1,1,0,0,1,0,0,0,0
False,False,True,True,3.0,2.0,53.5,2022.0,565700.0,1,1,0,0,1,0,0,0,0
False,False,True,True,19.0,2.0,52.1,2022.0,651300.0,1,1,0,0,1,0,0,0,0
False,True,True,True,20.0,2.0,62.9,2022.0,831500.0,1,1,0,0,1,0,0,0,0
False,False,True,True,24.0,2.0,60.8,2022.0,858500.0,1,1,0,0,1,0,0,0,0
False,True,True,True,6.0,1.0,37.0,1973.0,228000.0,1,2,0,0,1,0,0,0,0
