Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6317336b9d120eba28aae6c5,6059b3d8e2b2075e99aedb6f,APPROVED,2022-09-06T11:47:59.530000Z,2022-09-06T12:06:05.058000Z,2022-09-07T09:05:27.903000,2022-09-06T12:06:05.465338Z,1086,CA03AWEI,128,1,100,"English, German, Turkish",21,Male,White,Germany,Germany,Germany,German,Yes,Other
63173471cc56991460ef15b0,627bd413f8b54768625e3c4c,APPROVED,2022-09-06T11:52:21.791000Z,2022-09-06T12:11:40.739000Z,2022-09-07T09:05:37.918000,2022-09-06T12:11:41.166286Z,1159,CA03AWEI,37,0,100,"English, German",53,Female,White,United Kingdom,Germany,Germany,German,No,Part-Time
631735e021eff9aa92949777,62fbc00ac9564ec54d40a291,APPROVED,2022-09-06T11:58:41.279000Z,2022-09-06T12:20:37.725000Z,2022-09-07T09:05:28.007000,2022-09-06T12:20:38.129781Z,1317,CA03AWEI,26,1,97,German,52,Male,White,Germany,Germany,Germany,German,No,Full-Time
631737113b95fe285af9dd70,61545674c5dd8f8dfe265d5b,APPROVED,2022-09-06T12:03:31.374000Z,2022-09-06T12:11:55.178000Z,2022-09-07T09:05:38.249000,2022-09-06T12:11:55.599302Z,504,CA03AWEI,260,2,100,"English, German",34,Female,White,Germany,Germany,Germany,German,No,Full-Time
631737b9469a3f541933c091,5e488401d5dddb31d331199a,APPROVED,2022-09-06T12:06:19.081000Z,2022-09-06T12:25:17.238000Z,2022-09-07T09:05:28.106000,2022-09-06T12:25:17.641078Z,1139,CA03AWEI,190,2,100,"English, German, Indonesian",22,Male,Other,Indonesia,Germany,Indonesia,Indonesian,Yes,Part-Time
63173842e6410722e2f64f84,6154512eca877599f2bc9d9d,APPROVED,2022-09-06T12:08:37.247000Z,2022-09-06T12:16:13.595000Z,2022-09-07T09:05:38.344000,2022-09-06T12:16:13.970640Z,457,CA03AWEI,231,2,100,"English, German",25,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
63173910aa0c03adcc804b14,61077ae0994d20851dec821f,APPROVED,2022-09-06T12:12:03.839000Z,2022-09-06T12:35:30.246000Z,2022-09-07T09:05:38.445000,2022-09-06T12:35:30.702757Z,1407,CA03AWEI,17,2,94,"Albanian, English, French, Turkish, German",23,Female,White,Albania,Germany,Albania,Albanian,Yes,Part-Time
63173a44f2347ba782a96195,615e1c550d57423174258d74,APPROVED,2022-09-06T12:17:10.419000Z,2022-09-06T12:28:26.939000Z,2022-09-07T09:05:38.544000,2022-09-06T12:28:27.357533Z,677,CA03AWEI,320,0,100,"English, German",23,Female,White,Germany,Germany,Germany,German,Yes,Other
63173aaf6413c974b5cc5e10,616f1f088b0e6a0d02c805b0,APPROVED,2022-09-06T12:18:55.916000Z,2022-09-06T12:42:34.876000Z,2022-09-07T09:05:28.212000,2022-09-06T12:42:35.236010Z,1419,CA03AWEI,202,4,98,"English, German, Spanish",46,Male,White,Germany,Germany,Germany,Spanish,No,Full-Time
63173ad6119be76595232852,5ea9248e5cb94c3a0c8014f2,APPROVED,2022-09-06T12:19:40.335000Z,2022-09-06T12:38:16.338000Z,2022-09-07T09:05:28.311000,2022-09-06T12:38:16.728859Z,1117,CA03AWEI,187,1,100,"English, German, Hungarian, Japanese",20,Male,White,Hungary,Germany,Hungary,Hungarian,Yes,Part-Time
63173b6663c8f508e4dd0db4,5e9dd9917fca8614c3ff4df0,APPROVED,2022-09-06T12:22:03.617000Z,2022-09-06T12:35:38.521000Z,2022-09-07T09:05:38.647000,2022-09-06T12:35:38.892870Z,815,CA03AWEI,189,1,100,"English, German",25,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
63173cc99e2306382032fc9b,627bc3f6c5ff6d70cb3eb9e2,APPROVED,2022-09-06T12:27:53.404000Z,2022-09-06T12:38:08.389000Z,2022-09-07T09:05:38.754000,2022-09-06T12:38:08.810031Z,615,CA03AWEI,142,1,100,"German, English",29,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
63173cffc42a5b0ffeabc44b,60b2e1331864312620368f62,APPROVED,2022-09-06T12:28:57.246000Z,2022-09-06T12:44:27.586000Z,2022-09-07T09:05:28.407000,2022-09-06T12:44:27.995184Z,931,CA03AWEI,143,1,100,German,34,Male,White,Germany,Germany,Germany,German,No,Full-Time
63174001c37b29bc44f4b0eb,5f5494aa76d6147f7ca89533,APPROVED,2022-09-06T12:42:15.944000Z,2022-09-06T12:53:42.929000Z,2022-09-07T09:05:28.502000,2022-09-06T12:53:43.412808Z,687,CA03AWEI,1007,0,100,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Full-Time
6317410e0bf96b1716374efe,5d30748e68c6fe001c8cefc7,APPROVED,2022-09-06T12:46:09.109000Z,2022-09-06T12:55:13.038000Z,2022-09-07T09:05:28.600000,2022-09-06T12:55:13.399012Z,544,CA03AWEI,660,4,100,"German, English",38,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6317412df77b96f75e51cf3d,615452aaabb932ada88ef3ca,APPROVED,2022-09-06T12:46:37.783000Z,2022-09-06T12:52:41.267000Z,2022-09-07T09:05:28.694000,2022-09-06T12:52:41.619950Z,364,CA03AWEI,180,0,100,"English, German",33,Male,White,Germany,Germany,Germany,German,No,Full-Time
63174225645ce03d0ad77207,60ff31bd0732183dc615978d,APPROVED,2022-09-06T12:50:47.846000Z,2022-09-06T13:01:49.184000Z,2022-09-07T09:05:28.788000,2022-09-06T13:01:49.621358Z,662,CA03AWEI,133,1,100,"English, German",23,Male,Mixed,Singapore,Germany,Germany,English,Yes,Part-Time
631743eca5e1c66c3da798a3,627bc3295402b3d864eeaf18,APPROVED,2022-09-06T12:58:23.143000Z,2022-09-06T13:04:25.590000Z,2022-09-07T09:05:38.867000,2022-09-06T13:04:25.980972Z,363,CA03AWEI,201,2,100,"English, German",25,Female,White,Germany,Germany,Germany,German,No,Due to start a new job within the next month
631743fccf4c11f47d08609f,614f85801e1e9ee811ad29c4,APPROVED,2022-09-06T12:58:38.790000Z,2022-09-06T13:06:10.874000Z,2022-09-07T09:05:28.880000,2022-09-06T13:06:11.293989Z,453,CA03AWEI,372,2,100,"English, German",38,Male,White,Germany,Germany,Germany,German,No,Full-Time
6317450577a46dec7e29097f,5d7ff849774f4c0019fef2e2,APPROVED,2022-09-06T13:03:04.051000Z,2022-09-06T13:16:33.964000Z,2022-09-07T09:05:38.973000,2022-09-06T13:16:35.413481Z,810,CA03AWEI,556,0,100,"English, German",34,Female,Mixed,Germany,Germany,Germany,German,Yes,Part-Time
6317461b81dc07722cee42cf,5c3349ca938e730001aee818,APPROVED,2022-09-06T13:07:45.351000Z,2022-09-06T13:16:13.316000Z,2022-09-07T09:05:28.974000,2022-09-06T13:16:13.731378Z,508,CA03AWEI,25,1,99,"English, German",26,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
63174655990931c1f11f2b92,6107ab75c50cfb94fb523279,APPROVED,2022-09-06T13:08:39.590000Z,2022-09-06T13:17:19.262000Z,2022-09-07T09:05:29.067000,2022-09-06T13:17:19.649258Z,520,CA03AWEI,237,1,100,"English, German",43,Male,White,Germany,Germany,Germany,German,No,Full-Time
