title,description,content,url,image,publishedAt,source
I Used ChatGPT for a Day and Found It Very Impressive,ChatGPT is a chatbot that relies upon artificial intelligence to generate text. Here's my take on using ChatGPT instead of Google for a day.,"ChatGPT is a chatbot that relies upon artificial intelligence to generate text.
The bot writes essays, poems, and can even be used as a search engine.
Here's my take on using ChatGPT instead of Google for a day.
Sign up for our newsletter to get the ... [1598 chars]",https://markets.businessinsider.com/news/stocks/i-used-chatgpt-for-day-and-found-it-very-impressive-2022-12,https://i.insider.com/63af7255a51b3d00185b5bd1?width=1200&format=jpeg,2022-12-31T05:00:00Z,"{'name': 'Business Insider', 'url': 'https://markets.businessinsider.com'}"
ChatGPT Likes Our Robot Story,"Readers weigh in on the rise of robots, Willie Mays vs. Mickey Mantle, the Fed’s Sophie choice, Marty Zweig’s dictums, the case for five-year CDs, and options trading","To the Editor:
I was going to write you a letter about your cover story (“Robots Are Replacing Workers Lost in the Pandemic. They’re Here to Stay.”, Dec. 23) when I thought I would just let ChatGPT write it for me.
I entered, “Write two sentences pra... [285 chars]",https://www.barrons.com/articles/chatgpt-likes-our-robot-story-51672442409,https://images.barrons.com/im-665069/social,2022-12-30T23:20:00Z,"{'name': ""Barron's"", 'url': 'https://www.barrons.com'}"
"There’s now an open source alternative to ChatGPT, but good luck running it",An open source equivalent of OpenAI's ChatGPT has been released. But it's not trained with the necessary data.,"The first open source equivalent of OpenAI’s ChatGPT has arrived, but good luck running it on your laptop — or at all.
This week, Philip Wang, the developer responsible for reverse-engineering closed-sourced AI systems including Meta’s Make-A-Video, ... [4272 chars]",https://techcrunch.com/2022/12/30/theres-now-an-open-source-alternative-to-chatgpt-but-good-luck-running-it/,"https://techcrunch.com/wp-content/uploads/2022/06/GettyImages-1301630136.jpg?resize=1200,800",2022-12-30T19:59:10Z,"{'name': 'TechCrunch', 'url': 'https://techcrunch.com'}"
5 amazing things people have done with ChatGPT,"ChatGPT is a text-based system but here are five ways to use AI to help create graphics, animation, music, and even a whole book.",You probably already knew that ChatGPT could answer nearly any question you asked with great confidence as if it was the repository of all knowledge. What you may not have realized was how some creative usage of its skills could unlock all sorts of i... [7222 chars],https://www.digitaltrends.com/computing/5-amazing-things-with-chatgpt/,https://www.digitaltrends.com/wp-content/uploads/2022/12/A-Dall-E-creation-of-a-robot-writing-a-document.jpg?resize=1200%2C630&p=1,2022-12-29T15:00:43Z,"{'name': 'Digital Trends', 'url': 'https://www.digitaltrends.com'}"
"ChatGPT is being used for cheating, professors warn","South Carolina professor catches student cheating with ChatGPT, an AI chatbot developed by OpenAI, to write a 500-word essay.","As technology continues to advance at a rapid pace, it’s no surprise that artificial intelligence (AI) is making its way into the education system. The recent release of ChatGPT, an AI bot that can provide well-written answers to questions in a matte... [1756 chars]",https://www.androidheadlines.com/2022/12/chatgpt-used-for-cheating-professors-warn.html,https://www.androidheadlines.com/wp-content/uploads/2022/12/OpenAI-scaled.jpg,2022-12-29T11:49:16Z,"{'name': 'Android Headlines', 'url': 'https://www.androidheadlines.com'}"
ChatGPT Wrote My Cover Letters. Here's How Recruiters Responded,I gave ChatGPT some real job descriptions and a brief sentence about my made-up experience. I then sent the results to hiring managers.,"An updated version of the AI chatbot, ChatGPT, was recently released to the public.
Sign up for our newsletter to get the inside scoop on what traders are talking about — delivered daily to your inbox. Loading Something is loading. Thanks for signing... [3127 chars]",https://markets.businessinsider.com/news/stocks/chatgpt-job-applications-hiring-managers-job-interview-candidate-2022-12,https://i.insider.com/63a3234258babf00188d4aeb?width=1200&format=jpeg,2022-12-29T05:00:00Z,"{'name': 'Business Insider', 'url': 'https://markets.businessinsider.com'}"
Are GPT-3 and ChatGPT Just More Gadgets We Don't Need? | Opinion,"So many gadgets are marketed as solutions to modern life, but they can also make life more complicated than it needs to be.","America is the home of useless gadgets. From Sauna Pants to EZ Butter slicers, gadgets blend technology and consumerism into a product that is often fun, but not always necessary. Any time over the last 40 years, one could walk into a Sharper Image a... [4971 chars]",https://www.newsweek.com/are-gpt-3-chatgpt-just-more-gadgets-we-dont-need-opinion-1769169,https://d.newsweek.com/en/full/2170934/artificial-intelligence-display.jpg,2022-12-28T11:00:01Z,"{'name': 'Newsweek', 'url': 'https://www.newsweek.com'}"
ChatGPT is coming for crypto,Don't underestimate the power of artificial intelligence.,"If you’re unconvinced by the power of artificial intelligence, check the illustration above. I generated it in a number of seconds by thumbing the prompt “vaporwave robot carrying a briefcase full of cryptocurrency in a dark alley” into DALL-E 2, a f... [6380 chars]",https://fortune.com/crypto/2022/12/28/chatgpt-crypto-artificial-intelligence-nfts/,"https://content.fortune.com/wp-content/uploads/2022/12/chat-gpt-crypto-e1671656233208.png?resize=1200,600",2022-12-28T05:00:00Z,"{'name': 'Fortune', 'url': 'https://fortune.com'}"
Fears about AI are overblown. ChatGPT is a net gain.,"AI tools like ChatGPT will make life more efficient going forward, but much in the same way that search engines have done.","Artificial intelligence, or AI, has the potential to revolutionize many aspects of our society, but it also has the potential to be harmful. As AI becomes more advanced and widespread, it raises ethical concerns about how it will impact jobs, privacy... [4499 chars]",https://www.chicagotribune.com/opinion/commentary/ct-opinion-chatgpt-artificial-intelligence-ai-jobs-technology-20221227-4q5yew5o7rbwxnuzs3nhsokvva-story.html,https://www.chicagotribune.com/resizer/QZghcKufOmbQ-lqK6naoqB-h5is=/1200x630/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/tronc/NSHZIXQSNJFUPDHXKIMY5VFPCI.jpg,2022-12-27T10:00:00Z,"{'name': 'Chicago Tribune', 'url': 'https://www.chicagotribune.com'}"
"ChatGPT is 80% effective at identifying Alzheimer’s disease, study shows","ChatGPT could, a new study claims, be used to help spot telltale early signs of Alzheimer's disease through spontaneous speech.","The Drexel study, published in the journal PLOS Digital Health, is the latest in a series of efforts to show the value of natural language processing tools for the early detection and prediction of Alzheimer's. It builds on recent research that sugge... [1786 chars]",https://interestingengineering.com/innovation/chatgpts-ai-alzheimers-disease-diagnosis,https://inteng-storage-us.s3.amazonaws.com/2022/12/28/image/jpeg/Aq1juqCtf81FFz95aE9TjZw2xrzHQwJyEEQahpCF.jpg,2022-12-27T09:12:13Z,"{'name': 'Interesting Engineering', 'url': 'https://interestingengineering.com'}"
