,domain,avg_align,l2,l1,n,r1,r2,website,Twitter
0,readersupportednews.org,-0.9984,0.8215,0.1755,0.0028,0.0002,0.0,https://readersupportednews.org,[]
1,act.weareultraviolet.org,-0.971,0.152,0.848,0.0,0.0,0.0,https://act.weareultraviolet.org,[]
2,www.commondreams.org,-0.9673,0.8944,0.0945,0.0108,0.0001,0.0002,https://www.commondreams.org,"['https://twitter.com/RepRaskin/status/1633890473285...', 'https://twitter.com/TheElders/status/1633472809128140802', 'https://twitter.com/StevieVanZandt/status/16244882...', 'https://twitter.com/foe_us/status/1634217137106477057', 'https://twitter.com/teachersalary', 'https://twitter.com/mattduss/status/1633974536612769793', 'https://twitter.com/WajahatAli/status/1633965964990595073', 'https://twitter.com/ggjalliance/status/1635305872141471745', 'https://twitter.com/Acyn/status/163357239467274649...', 'https://twitter.com/Rachel_Maclean/status/1633197691198132225', 'https://twitter.com/sylverlining/status/1635259680351047680', 'https://twitter.com/Acyn/status/1630658530184409088', 'https://twitter.com/therecount/status/163098493392...', 'https://twitter.com/AaronParnas/status/16309517925...', 'https://twitter.com/ShalinGala/status/1635363049677950978', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/vermont-public-university-libaries-digital&text=%27Save%20the%20Books%27%3A%20Outcry%20Grows%20Over%20Digital%20Plan%20for%20Vermont%20College%20Libraries&', 'https://twitter.com/CommonDreams', 'https://twitter.com/Acyn/status/1630673738311294978', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/havana-syndrome&text=PETA%20Urges%20Pentagon%20to%20Stop%20%27Cruel%27%20Pulsed%20Radiation%20Experiments%20on%20Animals&', 'https://twitter.com/therecount/status/163358111323...', 'https://twitter.com/intent/tweet?url=https://www.commondreams.org/news/biden-approves-willow-project-2659589341&text=Green%20Groups%20Vow%20Fight%20After%20Biden%20Climate%20%27Betrayal%27&', 'https://twitter.com/ndncollective/status/1633141734065438721', 'https://twitter.com/JvpAction/status/1634221056138399745', 'https://twitter.com/EllenSherratt/status/1633916240631681025', 'https://twitter.com/theIMEU/status/1634274920510418944', 'https://twitter.com/SenSanders/status/1633911245085483010', 'https://twitter.com/harrylitman/status/1633964969762111489', 'https://twitter.com/hashtag/StopWillow', 'https://twitter.com/Acyn/status/163068570730299801...', 'https://twitter.com/Acyn/status/1630609204842201088', 'https://twitter.com/ndncollective/status/1633242528043630592', 'https://twitter.com/ddale8/status/1630955415746883586', 'https://twitter.com/Acyn/status/163070984465403085...', 'https://twitter.com/therecount/status/163061214079...', 'https://twitter.com/Acyn/status/163060920484220108...', 'https://twitter.com/bezalelsm/status/1632112780949041155', 'https://twitter.com/laraseligman/status/1635269483953807364', 'https://twitter.com/RonFilipkowski/status/16306222...', 'https://twitter.com/jamieclimate/status/1633972707883732995', 'https://twitter.com/MondaireJones/status/1633965725265313793', 'https://twitter.com/Acyn/status/163070541729783398...', 'https://twitter.com/atrupar/status/1630621020393553943?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1630621020393553943%7Ctwgr%5Ea9485c18e644a824adb39cdea494874eda63525f%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.wonkette.com%2Fr%2Fentryeditor%2F2659481544publish', 'https://twitter.com/VTpollster/status/1629216312034725888', 'https://twitter.com/RepDanGoldman/status/162409977...', 'https://twitter.com/justinbaragona/status/1631035159112736771?s=20', 'https://twitter.com/atrupar/status/163062102039355...']"
3,www.thenewcivilrightsmovement.com,-0.9643,0.9869,0.0072,0.0059,0.0,0.0,https://www.thenewcivilrightsmovement.com,['https://twitter.com/newcivilrights']
4,jezebel.com,-0.9487,0.9498,0.0473,0.0026,0.0,0.0003,https://jezebel.com,['https://twitter.com/jezebel']
5,ringoffireradio.com,-0.9472,0.9861,0.0134,0.0005,0.0,0.0,https://ringoffireradio.com,['https://twitter.com/RingOfFireMedia']
6,www.thenation.com,-0.9463,0.8956,0.1011,0.003,0.0001,0.0002,https://www.thenation.com,['https://twitter.com/thenation']
7,www.rightwingwatch.org,-0.9407,0.8874,0.1046,0.006,0.002,0.0,https://www.rightwingwatch.org,['https://twitter.com/RightWingWatch']
8,www.liberalamerica.org,-0.9387,0.9855,0.0145,0.0,0.0,0.0,https://www.liberalamerica.org,['https://twitter.com/LibAmericaOrg']
9,www.democracynow.org,-0.934,0.9555,0.0401,0.0039,0.0,0.0004,https://www.democracynow.org,"['https://twitter.com/share?url=https://www.democracynow.org/2023/3/8/iwd_united_states&text=International+Women%E2%80%99s+Day%3A+Roots+in+Radical+History%2C+Labor+%26+Reproductive+Rights&via=democracynow&lang=en', 'https://twitter.com/share?url=https://www.democracynow.org/2023/3/7/us_may_vaccinate_millions_of_chickens_as_avian_influenza_spreads&text=U.S.+May+Vaccinate+Millions+of+Chickens+as+Avian+Influenza+Spreads&via=democracynow&lang=en', 'http://www.twitter.com/democracynow', 'https://twitter.com/share?url=https://www.democracynow.org/2023/3/13/iran_saudi_arabia&text=China%E2%80%99s+Middle+East+Deal%3A+Iran+%26+Saudi+Arabia+Reestablish+Relations+as+U.S.+Watches+from+Sidelines&via=democracynow&lang=en', 'https://twitter.com/share?url=https://www.democracynow.org/2023/3/10/xi_jinping_china&text=Historian+Alfred+McCoy%3A+As+Tensions+Rise+over+Taiwan%2C+U.S.+%26+China+%E2%80%9CEdging+Ever+Closer%E2%80%9D+to+War&via=democracynow&lang=en']"
10,www.advocate.com,-0.9276,0.9609,0.035,0.0025,0.0005,0.001,https://www.advocate.com,"['https://twitter.com/intent/tweet?url=https://www.advocate.com/native-content-sponsor/provincetown-tourism/provincetown&text=A%20Haven%20of%20Fun%20All%20Day%20Long&', 'https://twitter.com/TheAdvocateMag', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/at-gay-party-new-zealand-s-new-leader-commits-to-ending-hiv&text=At%20Gay%20Party%2C%20New%20Zealand%27s%20New%20Leader%20Commits%20to%20Ending%20HIV&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/politics/glenn-youngkin-transgender-student&text=Transgender%20Teen%E2%80%99s%20Question%20on%20Bathrooms%20Stumps%20Va.%27s%20Republican%20Governor&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/news/george-santos-atm-scheme-allegations&text=Man%20Alleges%20George%20Santos%20Was%20Behind%20an%20ATM%20Fraud%20Scheme&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/antoni-porowski-indya-moore-added-to-unleashed-lgbtq-lineup&text=Antoni%20Porowski%2C%20Indya%20Moore%20Added%20to%20Unleashed%20LGBTQ%20Lineup&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/women/patricia-schroeder-womens-rights-champion&text=Women%27s%20Rights%20Champion%2C%20Former%20Lawmaker%20Patricia%20Schroeder%20Dies%20at%2082&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/film/anne-heche-leslie-jordan-oscars&text=Queer%20Actors%20Leslie%20Jordan%20%26%20Anne%20Heche%20Left%20Out%20of%20Oscars%20In%20Memoriam&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/politics/texas-drag-bounty-bill&text=Texas%20Republican%20Introduces%20Bounty%20Hunting%20Bill%20Targeting%20Drag%20Queens&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/crime/drag-queen-stabbed-death-oakland&text=Man%20Charged%20in%20Stabbing%20Death%20of%20Oakland%20Drag%20Queen%2C%20Chorus%20Singer&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/television/tennessee-snl-randy-mcnally&text=%27SNL%27%20Spoofs%20Tennessee%20Lt.%20Gov.%27s%20Enthusiasm%20for%20Gay%20Man%27s%20Racy%20Photos&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/crime/michigan-man-arrested-kill-lgbtq&text=Michigan%20Man%20Arrested%20Who%20Allegedly%20Said%20He%20Wanted%20to%20Kill%20LGBTQ%2B%20People&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/women/berlin-topless-women-swimming&text=Women%20Can%20Now%20Swim%20Topless%20in%20Berlin%27s%20Swimming%20Pools&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/film/brendan-fraser-becomes-sixth-straight-man-to-win-best-actor-oscar-for-playing-gay&text=Brendan%20Fraser%20Becomes%20Sixth%20Straight%20Man%20to%20Win%20Best%20Actor%20Oscar%20for%20Playing%20Gay&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/politics/pence-homophobic-buttigieg-attack&text=Mike%20Pence%20Makes%20Homophobic%20Digs%20at%20Pete%20Buttigieg%20at%20Gridiron%20Dinner&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/news/brett-parson-sex-crime-dropped&text=Prosecutors%20Dismiss%20Sex%20Crimes%20Charges%20Against%20Gay%20Former%20D.C.%20Cop&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/music/breakup-song-gay-rights&text=Why%20the%20Phenomenon%20of%20the%20%27Breakup%20Song%27%20Is%20Absolutely%20Gay%20Rights&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/news/ohio-nazi-drag-story-hour&text=Neo-Nazis%20Chanting%20%E2%80%98Sieg%20Heil%E2%80%99%20Target%20Drag%20Queen%20Story%20Event&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/harriet-tubman-monument-replaces-columbus-statue-in-new-jersey&text=Harriet%20Tubman%20Monument%20Replaces%20Columbus%20Statue%20in%20New%20Jersey&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/film/oscars-lgbtq-stories-2023&text=LGBTQ%2B%20Stories%20Dominate%20the%202023%20Oscars&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/california/transgender-woman-attacked&text=Transgender%20Woman%20Endures%20Anti-Trans%20Rant%20at%20Cheesecake%20Factory&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/politicians/tennessee-in-touch&text=Gay%20Instagrammer%3A%20Tennessee%20Lt.%20Gov.%20Has%20Been%20in%20Touch%20for%20Three%20Years&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/crime/groomer-slur-librarian&text=Man%20Accused%20of%20Writing%20%27Groomer%27%20on%20Libraries%20Faces%20Child%20Porn%20Charges&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/politics/trans-children-florida-custody-amendment&text=Florida%20Lawmaker%20to%20Scale%20Back%20Custody%20Threats%20to%20Trans%20Children&', 'https://twitter.com/intent/tweet?url=https://www.advocate.com/film/oscars-2023-lgbtq-nominations&text=These%20Are%20the%20LGBTQ%2B%20Film%20Nominees%20at%20the%202023%20Oscars&']"
11,crooksandliars.com,-0.9218,0.9145,0.0799,0.0024,0.003,0.0002,https://crooksandliars.com,['https://twitter.com/crooksandliars']
12,www.newnownext.com,-0.9097,0.0648,0.9352,0.0,0.0,0.0,https://www.newnownext.com,[]
13,samuel-warde.com,-0.9095,0.9372,0.0628,0.0,0.0,0.0,https://samuel-warde.com,['https://twitter.com/SamWardeWriter']
14,www.politicususa.com,-0.9037,0.994,0.0055,0.0001,0.0005,0.0,https://www.politicususa.com,['https://twitter.com/politicususa']
15,www.alan.com,-0.9009,0.9275,0.0657,0.0064,0.0004,0.0,https://www.alan.com,['https://twitter.com/avec_alan']
